|id|urlkey|timestamp|mime|mime-detected|digest|offset|url|length|status|filename
0||com,goodreads)/book/show/18377988-the-rules?ac=1&from_search=true|20190325211754|text/html|text/html|52SGHV34S54SPVGIMXW3C4FTEN2BZQ3L|25915358|https://www.goodreads.com/book/show/18377988-the-rules?ac=1&from_search=true|2324|403|crawl-data/CC-MAIN-2019-13/segments/1552912204300.90/crawldiagnostics/CC-MAIN-20190325194225-20190325220225-00265.warc.gz
0||com,goodreads)/book/show/18393609-david-and-goliath?from_search=true|20190326152159|text/html|text/html|VP75QD3RBPN62UL67EXLVTPIE3OCPW2V|740765465|https://www.goodreads.com/book/show/18393609-david-and-goliath?from_search=true|104097|200|crawl-data/CC-MAIN-2019-13/segments/1552912205534.99/warc/CC-MAIN-20190326135436-20190326161436-00017.warc.gz
0||com,goodreads)/book/show/18396199-rin-tin-tin|20190323114623|text/html|text/html|6YMV5YEWCNAMXMKUDZIEVSSB7LWQR723|25716971|https://www.goodreads.com/book/show/18396199-rin-tin-tin|2078|403|crawl-data/CC-MAIN-2019-13/segments/1552912202781.83/crawldiagnostics/CC-MAIN-20190323101107-20190323123107-00025.warc.gz
0||com,goodreads)/book/show/18399534-over-det-kinesiske-hav|20190325042247|text/html|text/html|7PNRH2I37LTFN6MRFR5U42N3SSBTR2T6|769953157|https://www.goodreads.com/book/show/18399534-over-det-kinesiske-hav|57112|200|crawl-data/CC-MAIN-2019-13/segments/1552912203548.81/warc/CC-MAIN-20190325031213-20190325053213-00515.warc.gz
0||com,goodreads)/book/show/18401815-always-a-sinner|20190318144350|text/html|text/html|CQBAP5235Y254ZUGHZD4VDMYUN3A4JH4|9631772|http://www.goodreads.com/book/show/18401815-always-a-sinner|947|301|crawl-data/CC-MAIN-2019-13/segments/1552912201329.40/crawldiagnostics/CC-MAIN-20190318132220-20190318154220-00526.warc.gz
0||com,goodreads)/book/show/18401815-always-a-sinner|20190318144350|text/html|text/html|YI6VMCPSMXA2UKKDLYOBTOO366XN74EX|783935485|https://www.goodreads.com/book/show/18401815-always-a-sinner|63758|200|crawl-data/CC-MAIN-2019-13/segments/1552912201329.40/warc/CC-MAIN-20190318132220-20190318154220-00349.warc.gz
0||com,goodreads)/book/show/18404201-sunkissed|20190326052646|text/html|text/html|C23PTE2XVV3LASPUUH2OEWJ25FGA2KKO|8754607|http://www.goodreads.com/book/show/18404201-sunkissed|942|301|crawl-data/CC-MAIN-2019-13/segments/1552912204790.78/crawldiagnostics/CC-MAIN-20190326034712-20190326060712-00078.warc.gz
0||com,goodreads)/book/show/18404201-sunkissed|20190326052647|text/html|text/html|ZGLCMJ5EEL4W4KBKICG46J3MHLKEJGNO|784945501|https://www.goodreads.com/book/show/18404201-sunkissed|52464|200|crawl-data/CC-MAIN-2019-13/segments/1552912204790.78/warc/CC-MAIN-20190326034712-20190326060712-00157.warc.gz
0||com,goodreads)/book/show/18404283-the-glass-kitchen?from_search=true|20190324000423|text/html|text/html|75MO7WHQUFXNVJJSXFOEAQ7Z2XNXZNRA|782765303|https://www.goodreads.com/book/show/18404283-the-glass-kitchen?from_search=true|83857|200|crawl-data/CC-MAIN-2019-13/segments/1552912203093.63/warc/CC-MAIN-20190323221914-20190324003914-00456.warc.gz
0||com,goodreads)/book/show/18404410-girls-like-us|20190324013014|text/html|text/html|3GMHFYWU6BIABJEOJZKTKU4B6OWAJAUS|766884127|https://www.goodreads.com/book/show/18404410-girls-like-us|73968|200|crawl-data/CC-MAIN-2019-13/segments/1552912203123.91/warc/CC-MAIN-20190324002035-20190324024035-00162.warc.gz
