|data
150|https://www.goodreads.com/topic/show/19658949-the-language-of-flowers-by-vanessa-diffenbaugh
151|https://www.goodreads.com/topic/show/18382629-language-of-flowers-discussion
152|https://www.goodreads.com/videos/15119-vanessa-diffenbaugh-on-the-language-of-flowers
153|https://www.goodreads.com/videos/26115-goodreads-live-with-vanessa-diffenbaugh
154|http://facebook.com/vanessadiffenbaugh
155|https://www.goodreads.com/work/editions/431388-the-second-sun-the-great-and-terrible-3
156|https://www.goodreads.com/author/show/99356.Chris_Stewart
157|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10062798-the-second-sun
158|https://www.goodreads.com/work/editions/3528228-clear-as-the-moon-the-great-and-terrible-6
159|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10062800-the-great-and-terrible-vol-6
160|https://www.goodreads.com/work/editions/14366-consider-phlebas
161|https://www.goodreads.com/author/show/5807106.Iain_M_Banks
162|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F100700.Consider_Phlebas
163|http://en.wikipedia.org/wiki/Macguffin
164|http://en.wikipedia.org/wiki/Shaggy_dog_story
165|http://scriptshadow.blogspot.com/2011/05/temporary-aliens-re-post.html
166|http://en.wikipedia.org/wiki/Noble_savage
167|https://www.goodreads.com/review/show/1195080
168|https://www.goodreads.com/review/show/250323657
169|http://s181.photobucket.com/albums/x150/markmonday/?action=view&current=scarymeetsbaby.jpg
170|http://heradas.com/2018/06/consider-phlebas-by-iain-m-banks-peripheral-storytelling-and-the-politics-of-genre/
171|http://heradas.com/2018/06/iain-m-banks-culture-series-caledonian-antisyzygy-and-the-principle-of-charity/
172|https://en.wikipedia.org/wiki/Space_opera
173|https://en.wikipedia.org/wiki/Picaresque_novel
174|https://amzn.to/2MxUrqc
175|https://amzn.to/2tf6Ber
176|https://amzn.to/2MwXj6s
177|https://amzn.to/2t3vydL
178|https://amzn.to/2MxVeaE
179|https://amzn.to/2sYyUib
180|https://amzn.to/2JvkLPD
181|https://amzn.to/2t20mvd
182|https://amzn.to/2JIVBBr
183|https://amzn.to/2thmMIh
184|https://amzn.to/2tfI09k
185|https://amzn.to/2t2XCho
186|https://en.wikipedia.org/wiki/Caledonian_Antisyzygy
187|https://amzn.to/2JumlBc
188|http://en.wikipedia.org/wiki/Technological_singularity
189|https://www.goodreads.com/author/show/51204.Alastair_Reynolds
190|https://www.goodreads.com/series/49118-culture
191|https://www.goodreads.com/author/show/5807106.Iain_M__Banks
192|https://www.goodreads.com/author/show/7628.Iain_Banks
193|https://verox11.deviantart.com/art/Unaha-Closp-Culture-Drone-135187558
194|http://www.vavatch.co.uk/books/banks/cultnote.htm
195|https://www.goodreads.com/review/show/145210672
196|https://www.goodreads.com/review/show/136992238
197|https://www.goodreads.com/review/show/137003420
198|https://www.goodreads.com/review/show/142587610
199|https://manuelaantao.blogspot.pt/2017/07/post-scarcity-society-consider-phlebas.html
200|https://www.goodreads.com/review/show/105193525
201|http://www.fantasyliterature.com
202|https://www.goodreads.com/topic/show/590502-consider-phlebas---final-thoughts-spoilers
203|https://www.goodreads.com/topic/show/566871-consider-phlebas---first-impressions-no-spoilers
204|https://www.goodreads.com/topic/show/19456655-broken-cover-link
205|https://www.goodreads.com/topic/show/19397265-consider-phlebas---iain-m-banks
206|https://www.goodreads.com/topic/show/18823289-consider-phlebas-by-iain-m-banks---4-4-stars
207|https://www.goodreads.com/topic/show/18422388-consider-phlebas-overall-discussion-spoilers
208|https://www.goodreads.com/topic/show/18406005-consider-phlebas---january-february-2017
209|https://www.goodreads.com/work/editions/993991-more-than-night-film-noir-in-its-contexts
210|https://www.goodreads.com/author/show/67903.James_Naremore
211|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F1007865.More_than_Night
212|https://www.goodreads.com/work/editions/690145-the-yes-of-jesus-christ-exercises-in-faith-hope-and-love
213|https://www.goodreads.com/author/show/4905855.Benedict_XVI
214|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10083607-auf-christus-schauen
215|https://www.goodreads.com/author/show/4443885._the_Catholic_Church
216|https://www.goodreads.com/author/show/7034628.Pope_Francis
217|https://www.goodreads.com/author/show/121091.Pope_Paul_VI
218|https://www.goodreads.com/author/show/6473881.Pope_John_Paul_II
219|https://www.ewtn.com/library/Theology/zratzfound.htm
220|https://www.goodreads.com/work/editions/14984800-all-things-shining-reading-the-western-classics-to-find-meaning-in-a-se
221|https://www.goodreads.com/author/show/30234.Hubert_L_Dreyfus
222|https://www.goodreads.com/author/show/4549232.Sean_Dorrance_Kelly
223|http://www.nybooks.com/articles/archives/2011/apr/07/superficial-sublime/
224|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10087892-all-things-shining
225|http://www.yelp.com/biz/the-elliott-bay-book-company-seattle
226|http://www.people.fas.harvard.edu/~sdkelly/
227|http://en.wikipedia.org/wiki/The_World_Until_Yesterday
228|http://en.wikipedia.org/wiki/List_of_cognitive_biases
229|http://en.wikipedia.org/wiki/Girls_(TV_series)
230|http://www.nytimes.com/2006/08/20/sports/playmagazine/20federer.html?pagewanted=all&_r=0
231|http://www.flickr.com/photos/oso/5844420248/
232|https://archive.org/details/Philosophy_6_Spring_2007_UC_Berkeley
233|https://www.goodreads.com/author/show/499211.Jacques_Philippe
234|http://www.GoodReadingGuide.com
235|https://www.goodreads.com/videos/29396-conversations-with-history---hubert-dreyfus-and-sean-dorrance-kelly
236|https://www.goodreads.com/work/editions/14987308-the-wanted-our-story-our-way-100-official
237|https://www.goodreads.com/author/show/4549916.The_Wanted
238|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10090358-the-wanted
239|https://www.goodreads.com/work/editions/14992169-die-buying-a-mall-cop-mystery-1
240|https://www.goodreads.com/author/show/3463703.Laura_DiSilverio
241|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10095135-die-buying
242|https://www.goodreads.com/work/editions/15000061-anatomy-of-a-disappearance
243|https://www.goodreads.com/author/show/35807.Hisham_Matar
244|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10102881-anatomy-of-a-disappearance
245|http://oldfashionedreader.blogspot.com/2011/08/anatomy-of-disappearance-novel-by.html
246|https://www.goodreads.com/author/show/737890.Steve_West
247|https://roar.media/bangla/main/book-movie/anatomy-of-a-disappearance-review/
248|https://www.goodreads.com/topic/show/886301-matar-anatomy-of-a-disappearance-cl-first-read-may-2012
249|https://www.goodreads.com/work/editions/1096-the-long-dark-tea-time-of-the-soul
250|https://www.goodreads.com/author/show/4.Douglas_Adams
251|https://www.goodreads.com/author/show/4471191.Jana_Hollanov_
252|https://www.goodreads.com/author/show/4724387.Pavel_R_t
253|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10111972-dlouh-temn-as-sva-iny-du-e
254|https://www.goodreads.com/author/show/1221698.Neil_Gaiman
255|https://www.goodreads.com/author/show/1654.Terry_Pratchett
256|https://www.goodreads.com/topic/show/19200235-the-long-dark-tea-time-of-the-soul
257|https://www.goodreads.com/topic/show/886228-douglas-adams-long-dark-tea-time-of-the-soul
258|https://www.goodreads.com/work/editions/15015753-spellbound
259|https://www.goodreads.com/author/show/4556932.Cara_Lynn_Shultz
260|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10118172-spellbound
261|http://www.thebooklantern.com/2011/05/10-things-i-learned-about-high-school.html
262|http://rainydayramblings.typepad.com/
263|http://www.smexybooks.com/2011/07/review-spellbound-by-cara-lynn-shultz.html
264|http://longandshortreviews.blogspot.com/2011/06/spellbound-by-cara-lynn-shultz.html
265|https://www.goodreads.com/topic/show/18296380-crawford-review-5-spellbound
266|https://www.goodreads.com/topic/show/17899688-solved-teen-romance-fantasy-book-with-past-life-lovers-s
267|https://www.goodreads.com/topic/show/2070620-spellbound
268|https://www.goodreads.com/topic/show/1682853-spellbound
269|https://www.goodreads.com/topic/show/1504885-the-spellbound-series-by-cara-lynn-shultz---starting-october-17th
270|https://www.goodreads.com/topic/show/652745-spellbound-sept-bam
271|http://Facebook.com/CaraLShultz
272|https://www.goodreads.com/work/editions/15021166-hell-on-high-seas---amazing-stories-of-survival-against-the-odds
273|https://www.goodreads.com/author/show/437558.Rob_Mundle
274|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10123409-hell-on-high-seas
275|https://www.goodreads.com/work/editions/17778410-das-schlo
276|https://www.goodreads.com/author/show/5223.Franz_Kafka
277|https://www.goodreads.com/author/show/162942.Mark_Harman
278|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F1012959.The_Castle
279|https://www.goodreads.com/review/list/1199525-cecily?format=html&order=a&shelf=kafka
280|https://www.goodreads.com/topic/show/19129804
281|https://www.goodreads.com/topic/show/19178020-the-castle-by-franz-kafka
282|https://www.goodreads.com/topic/show/19359135-the-castle-franz-kafka-5-stars
283|https://www.goodreads.com/topic/show/18011557-the-castle-by-kafka-thread-2-from-ch-2-barnabas-to-ch-6-2nd-convers
284|https://www.goodreads.com/author/show/1461.Flaubert
285|https://www.goodreads.com/author/show/13004.Max_Brod
286|https://www.goodreads.com/author/show/1946467.Felix_Weltsch
287|https://www.goodreads.com/work/editions/15027948-pretty-bones
288|https://www.goodreads.com/author/show/4560070.Aya_Tsintziras
289|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10130083-pretty-bones
290|http://ayatsintziras.com/2011/04/the-story-behind-the-story/
291|http://astormofwords.net/2011/10/11/review-pretty-bones-by-aya-tsintziras/
292|https://www.goodreads.com/work/editions/15032787-meet-me-at-the-cupcake-caf
293|https://www.goodreads.com/author/show/39272.Jenny_Colgan
294|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10134852-meet-me-at-the-cupcake-caf
295|https://www.jennycolgan.com/category/recipes/
296|http://reabookreview.blogspot.com
297|https://www.goodreads.com/topic/show/982058-8-2012-meet-at-the-c-c-cafe-chapters-16--end
298|https://www.goodreads.com/topic/show/980881-8-2012-meet-at-the-c-c-cafe-chapters-11-15
299|https://www.goodreads.com/topic/show/979632-8-2012-meet-at-the-c-c-cafe-chapters-6-10
300|https://www.goodreads.com/topic/show/975573-8-2012-meet-at-the-c-c-cafe-chapters-1-5
301|https://www.goodreads.com/topic/show/977475-8-2012-meet-at-the-c-c-cafe-spoiler-thread
302|https://www.goodreads.com/author/show/7914032.Jenny_T_Colgan
303|https://www.goodreads.com/work/editions/15035866-the-rithmatist
304|https://www.goodreads.com/author/show/38550.Brandon_Sanderson
305|https://www.goodreads.com/author/show/7561075.Ben_McSweeney
306|http://brandonsanderson.com/books/the-rithmatist/the-rithmatist/
307|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10137823-the-rithmatist
308|https://gifyu.com/image/LK95
309|https://brandonsanderson.com/state-of-the-sanderson-2016/
310|http://www.nikihawkes.com
311|http://bookandsword.net 
312|https://www.instagram.com/book_and_sword/
313|https://bookandswordblog.wordpress.com
314|https://www.goodreads.com/user/show/48780241-alexandra-elend-wolf
315|https://www.goodreads.com
316|https://www.goodreads.com/topic/show/19386052-the-rithmatist-july-25-2018
317|https://www.goodreads.com/topic/show/19257161-el-rithmatista---2-bimestre-18-mar-may
318|https://www.goodreads.com/topic/show/14559537-the-rithmatist-rithmatist-1-by-brandon-sanderson---restarting-march
319|https://www.goodreads.com/topic/show/19112160-november-reading-assignment
320|https://www.goodreads.com/topic/show/19112161-november-reading-assignment
321|https://www.goodreads.com/videos/45337-the-rithmatist-by-brandon-sanderson
322|https://www.goodreads.com/author/show/10333.Barbara_Hambly
323|https://www.goodreads.com/author/show/6252.Robert_Jordan
324|https://www.goodreads.com/work/editions/15036277-flavia-and-her-artists
325|https://www.goodreads.com/author/show/881203.Willa_Cather
326|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10138217-flavia-and-her-artists
327|https://www.goodreads.com/work/editions/15047924-circle-of-cranes
328|https://www.goodreads.com/author/show/417649.Annette_LeBox
329|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10149597-circle-of-cranes
330|http://www.annettelebox.com
331|https://kissthebook.blogspot.com/
332|http://pagesunbound.wordpress.com/2012/08/06/circle-of-cranes-by-annette-lebox/
333|http://scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Nshu
334|https://www.savingcranes.org/cao-hai-project/
335|https://www.good.is/articles/ethical-style-there-are-still-sweatshops-in-america
336|https://eatdrinkreadlisten.blogspot.ca
337|http://www.examiner.com/young-adult-fiction-in-chicago/review-of-circle-of-cranes-by-annette-lebox-review#ixzz1s2npOhKQ
338|https://www.goodreads.com/work/editions/1008846-13-little-blue-envelopes
339|https://www.goodreads.com/author/show/10317.Maureen_Johnson
340|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10150258-13-little-blue-envelopes
341|http://olivia-savannah.blogspot.com.es/2017/07/13-little-blue-envelopes-book-review.html
342|http://theyabooklover.blogspot.com.au/
343|http://photobucket.com/images/Passport%20Europe
344|http://www.goodbooksandgoodwine.com/2009/08/review-of-13-little-blue-envelopes-by-maureen-johnson.html
345|https://candidcover.net/2018/08/27/series-review-little-blue-envelopes/
346|https://www.goodreads.com/work/editions/15066217
347|https://www.goodreads.com/author/show/4569244._
348|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10167475
349|https://www.goodreads.com/videos/36748
350|https://www.goodreads.com/work/editions/98029-the-chronicles-of-narnia-bloom-s-modern-critical-interpretations
351|https://www.goodreads.com/author/show/236.Harold_Bloom
352|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F101680.C_S_Lewis_s_The_Chronicles_of_Narnia
353|https://www.goodreads.com/work/editions/47457797-the-voyage-of-the-dawn-treader-radio-theatre-s-chronicles-of-narnia-5
354|https://www.goodreads.com/author/show/61723.Paul_McCusker
355|https://www.goodreads.com/author/show/1069006.C_S_Lewis
356|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F101702.The_Voyage_of_the_Dawn_Treader
357|https://www.goodreads.com/work/editions/15074968-harrison-bergeron
358|https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut
359|http://www.tnellen.com/cybereng/harrison.html
360|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10176119-harrison-bergeron
361|https://imgur.com/NDSKba5
362|https://imgur.com/1f6B8fS
363|http://www2.ljworld.com/news/2005/may/05/vonnegut_lawyers_could/
364|http://caselaw.findlaw.com/us-supreme-court/532/661.html#section1
365|https://afremov.com/WHITE-SWAN-Palette-knife-Oil-Painting-on-Canvas-by-Leonid-Afremov-Size-24-x30.html
366|http://www.workersliberty.org/node/8232
367|https://www.goodreads.com/topic/show/19701336-harrison-bergeron-by-kurt-vonnegut-jr
368|https://www.goodreads.com/topic/show/19473806-harrison-bergeron-dystopian
369|https://www.goodreads.com/work/editions/15086278-there-but-for-the
370|https://www.goodreads.com/author/show/68992.Ali_Smith
371|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10187223-there-but-for-the
372|http://theorwellprize.co.uk/george-orwell/by-orwell/essays-and-other-works/reflections-on-gandhi/
373|https://www.goodreads.com/author/show/25573.Stefan_Zweig
374|https://www.goodreads.com/author/show/45712.Katherine_Mansfield
375|https://www.goodreads.com/author/show/77318.John_Donne
376|https://www.goodreads.com/author/show/947.William_Shakespeare
377|http://www.gutenberg.org/ebooks/11231
378|http://www.bartleby.com/73/148.html
379|http://www.poemhunter.com/best-poems/wallace-stevens/the-man-on-the-dump/
380|https://www.goodreads.com/topic/show/1943285-there-but-for-the---ali-smith---fionnuala
381|https://www.goodreads.com/work/editions/13479034-department-19
382|https://www.goodreads.com/author/show/590558.Will_Hill
383|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10187639-department-19
384|https://www.goodreads.com/author/show/6988.Bram_Stoker
385|http://www.fictionvixen.com/2011/05/review-department-nineteen-by-will-hill.html
386|http://blog4aleshanee.blogspot.de/2015/03/department-19-die-mission.html
387|https://www.goodreads.com/topic/show/1102975-department-nineteen
388|https://www.goodreads.com/topic/show/1098750-first-book-decided
389|https://www.goodreads.com/videos/38931-the-story-behind-department-19
390|https://www.goodreads.com/videos/40438-the-loop
391|https://www.goodreads.com/work/editions/16930106-the-dragonbone-chair-part-1
392|https://www.goodreads.com/author/show/6587.Tad_Williams
393|https://www.goodreads.com/author/show/6430435._
394|https://www.goodreads.com/author/show/656983.J_R_R__Tolkien
395|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10188714
396|http://librosdeolethros.blogspot.com.co/2016/07/el-trono-de-huesos-de-dragon-tad.html
397|https://www.goodreads.com/work/editions/15093325-shadow-and-bone
398|https://www.goodreads.com/author/show/4575289.Leigh_Bardugo
399|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10194157-shadow-and-bone
400|http://www.mirandareads.com
401|https://www.instagram.com/miranda.reads/?hl=en
402|https://twitter.com/Miranda_Reads
403|https://www.goodreads.com/author/show/338705.Catherynne_M__Valente
404|http://cuddlebuggery.com/2012/06/author-interview-with-leigh-bardugo-and-giveaway/
405|http://www.leighbardugo.com/ravkamap/
406|http://thebookgeek.co.uk/
407|http://www.youtube.com/watch?v=fnmBpFSM5jw
408|https://www.facebook.com/SteamyReadsBlog/
409|https://www.instagram.com/steamyreads/
410|http://steamyreads.net/youtube/
411|http://www.steamyreads.net
412|http://lbardugo.tumblr.com/post/60209445492/chrysalisgrey-my-power-is-yours-and-yours-is
413|https://deadline.com/2019/01/netflix-orders-shadow-and-bone-series-leigh-bardugo-grishaverse-fantasy-novels-1202532783/
